station_code,station_name,station_type,pollutant,nn_dist_km,n_train_stns,n_test_days,RF_RMSE,RF_MAE,RF_R2,LUR_RMSE,LUR_MAE,LUR_R2,IDW_RMSE,IDW_MAE,IDW_R2,period
102,Bredkälen,Rural Background,NO2,81.9,33,1759,2.618,2.416,-118.209,24.003,23.637,-10017.947,17.497,15.526,-5323.171,2020-2024
156417,Uppsala Kungsgatan 67,Urban Traffic,NO2,48.7,32,1786,11.136,8.506,-0.031,12.667,10.774,-0.334,11.754,9.112,-0.149,2020-2024
157992,Stockholm St Eriksgatan 83,Urban Traffic,NO2,13.0,26,1739,7.51,6.246,-0.067,5.755,4.363,0.373,5.247,3.714,0.479,2020-2024
159404,Uppsala Dragarbrunnsgatan 23 tak,Urban Background,NO2,49.2,32,1798,13.214,12.424,-9.503,20.29,20.019,-23.763,9.477,8.552,-4.402,2020-2024
181993,Kalmar Södra Vägen,Urban Traffic,NO2,96.5,33,1790,6.167,4.419,-0.179,5.03,4.001,0.216,4.741,3.72,0.303,2020-2024
18643,Norr Malma,Rural-Regional Background,NO2,55.1,33,1818,1.928,1.601,-1.081,16.499,16.144,-151.388,14.677,13.445,-119.589,2020-2024
20415,Sollentuna E4 Häggvik,Urban Traffic,NO2,8.6,33,1817,6.811,5.136,0.498,8.69,6.98,0.183,6.211,4.437,0.583,2020-2024
32423,Sundsvall Köpmangatan,Urban Traffic,NO2,10.9,33,1827,8.275,6.228,-0.1,7.898,6.414,-0.002,6.769,4.847,0.264,2020-2024
8773,Malmö Rådhuset,Urban Background,NO2,15.5,32,1819,4.536,3.459,-0.232,29.48,29.294,-51.037,4.169,3.094,-0.041,2020-2024
8780,Stockholm Hornsgatan 108 Gata,Urban Traffic,NO2,6.1,29,1807,9.895,8.051,-0.287,7.898,6.091,0.18,9.9,8.454,-0.288,2020-2024
8781,Stockholm Torkel Knutssongatan,Urban Background,NO2,6.5,29,1826,7.844,7.046,-1.75,30.379,30.172,-40.247,7.49,6.442,-1.507,2020-2024
102,Bredkälen,Rural Background,PM25,81.9,33,1774,4.369,3.754,-2.664,2.635,1.524,-0.333,5.487,3.584,-4.778,2020-2024
156417,Uppsala Kungsgatan 67,Urban Traffic,PM25,48.7,32,1815,2.995,2.359,0.019,6.549,6.176,-3.691,1.257,0.847,0.827,2020-2024
157992,Stockholm St Eriksgatan 83,Urban Traffic,PM25,13.0,26,1743,3.023,2.191,0.249,3.411,2.431,0.045,1.418,0.992,0.835,2020-2024
159404,Uppsala Dragarbrunnsgatan 23 tak,Urban Background,PM25,49.2,32,1799,3.424,2.925,-0.396,5.839,5.514,-3.061,1.821,1.303,0.605,2020-2024
181993,Kalmar Södra Vägen,Urban Traffic,PM25,96.5,33,1779,4.975,3.382,0.233,6.357,3.722,-0.252,3.383,1.94,0.645,2020-2024
18643,Norr Malma,Rural-Regional Background,PM25,55.1,33,1818,3.451,2.911,-0.345,4.755,4.387,-1.553,1.944,1.479,0.573,2020-2024
20415,Sollentuna E4 Häggvik,Urban Traffic,PM25,8.6,33,1817,3.231,2.24,0.131,7.286,6.856,-3.417,0.993,0.696,0.918,2020-2024
32423,Sundsvall Köpmangatan,Urban Traffic,PM25,10.9,33,1821,3.616,2.236,0.163,5.95,4.621,-1.267,2.872,1.805,0.472,2020-2024
8773,Malmö Rådhuset,Urban Background,PM25,15.5,32,1793,4.88,3.278,0.156,13.971,12.95,-5.921,4.017,2.649,0.428,2020-2024
8780,Stockholm Hornsgatan 108 Gata,Urban Traffic,PM25,6.1,29,1827,2.623,1.745,0.501,4.325,3.689,-0.356,1.278,0.959,0.882,2020-2024
8781,Stockholm Torkel Knutssongatan,Urban Background,PM25,6.5,29,1823,2.548,1.974,0.431,3.495,2.099,-0.071,1.131,0.714,0.888,2020-2024
